2016-11-18	amsterdammuseum	0
2016-11-18	bbc-things	4557
2016-11-18	bbcwildlife	444
2016-11-18	bl-example	1533
2016-11-18	bookmashup	8903
2016-11-18	bricklink	0
2016-11-18	cordis	0
2016-11-18	dataEco	0
2016-11-18	dblp	0
2016-11-18	dbtune	838
2016-11-18	diseasome	2301
2016-11-18	dnb	0
2016-11-18	dnb-extended	0
2016-11-18	drugbank	4845
2016-11-18	eunis	11235
2016-11-18	eurostat_linkedstatistics	253
2016-11-18	eurostat_wbsg	0
2016-11-18	factbook	0
2016-11-18	gadm	38793
2016-11-18	geonames	86547
2016-11-18	geospecies	0
2016-11-18	gho	0
2016-11-18	gutenberg	0
2016-11-18	ispra-core	0
2016-11-18	italian_public_schools	0
2016-11-18	jrc_names	0
2016-11-18	linkedgeodata	103618
2016-11-18	linkedmdb	13758
2016-11-18	linked_web_apis	0
2016-11-18	lmdb	0
2016-11-18	logainmie	1482
2016-11-18	manifestation	13926
2016-11-18	nuts	307
2016-11-18	nytimes	0
2016-11-18	ocd	1533
2016-11-18	opencyc	0
2016-11-18	openei	678
2016-11-18	organisation	7012
2016-11-18	revyu	0
2016-11-18	scigraph-subjects	0
2016-11-18	sider	0
2016-11-18	tcm	0
2016-11-18	transparency	183
2016-11-18	uk-university	0
2016-11-18	umbel	0
2016-11-18	uscensus	0
2016-11-18	viaf2dbpedia	173942
2016-11-18	wikicompany	0
2016-11-18	wl-example	10
2016-11-18	wordnet	437797
2016-11-18	worldbank	214
2016-12-01	amsterdammuseum	0
2016-12-01	bbc-things	4557
2016-12-01	bbcwildlife	444
2016-12-01	bl-example	1533
2016-12-01	bookmashup	8903
2016-12-01	bricklink	0
2016-12-01	cordis	0
2016-12-01	dataEco	0
2016-12-01	dblp	0
2016-12-01	dbtune	838
2016-12-01	diseasome	2301
2016-12-01	dnb	0
2016-12-01	dnb-extended	0
2016-12-01	drugbank	4845
2016-12-01	eunis	11235
2016-12-01	eurostat_linkedstatistics	253
2016-12-01	eurostat_wbsg	0
2016-12-01	factbook	0
2016-12-01	gadm	38793
2016-12-01	geonames	86547
2016-12-01	geospecies	0
2016-12-01	gho	0
2016-12-01	gutenberg	0
2016-12-01	ispra-core	0
2016-12-01	italian_public_schools	0
2016-12-01	jrc_names	0
2016-12-01	linkedgeodata	103618
2016-12-01	linkedmdb	13758
2016-12-01	linked_web_apis	0
2016-12-01	lmdb	0
2016-12-01	logainmie	1482
2016-12-01	manifestation	13926
2016-12-01	nuts	307
2016-12-01	nytimes	0
2016-12-01	ocd	1533
2016-12-01	opencyc	0
2016-12-01	openei	678
2016-12-01	organisation	7012
2016-12-01	revyu	0
2016-12-01	scigraph-subjects	0
2016-12-01	sider	0
2016-12-01	tcm	0
2016-12-01	transparency	183
2016-12-01	uk-university	0
2016-12-01	umbel	0
2016-12-01	uscensus	0
2016-12-01	viaf2dbpedia	173942
2016-12-01	wikicompany	0
2016-12-01	wl-example	10
2016-12-01	wordnet	437797
2016-12-01	worldbank	214
2017-01-05	amsterdammuseum	0
2017-01-05	bbc-things	4557
2017-01-05	bbcwildlife	444
2017-01-05	bl-example	1533
2017-01-05	bookmashup	8903
2017-01-05	bricklink	0
2017-01-05	cordis	0
2017-01-05	dataEco	57
2017-01-05	dblp	0
2017-01-05	dbtune	838
2017-01-05	diseasome	2301
2017-01-05	dnb	0
